PCON25NM,Fatal,Serious,Slight,Total,Slight_Proportion,Serious_Proportion,Fatal_Proportion
Chorley,1,47,89,137,0.8463021949885867,1.5716418617878474,0.5177089297924738
Christchurch,4,24,111,139,1.0403134329634984,0.7909931794823882,2.0410395217717676
Cities of London and Westminster,1,211,766,978,1.0203424202855205,0.9883707805486948,0.07252159854966149
City of Durham,4,24,45,73,0.8030557229651589,1.50613769791852,3.886362925017475
Clacton,1,33,105,139,0.9840802744249308,1.0876156217882837,0.5102598804429419
Clapham and Brixton Hill,5,54,271,330,1.069821640903686,0.7496458087367178,1.0746382330540747
Clwyd East,3,32,87,122,0.928999434708875,1.2016180540770707,1.744085001186121
Clwyd North,3,33,84,120,0.9119143876337693,1.2598214285714286,1.7731530845392232
Colchester,0,29,114,143,1.0385438580444526,0.9290482245027699,0.0
Colne Valley,2,41,83,126,0.8581507275918691,1.490697794269223,1.1258114822471257
Congleton,1,15,60,76,1.0284748732711684,0.904178058783322,0.9332384655469594
Corby and East Northamptonshire,5,20,98,123,1.0379513355181114,0.744905501003062,2.883175747218249
Coventry East,1,20,100,121,1.076640363203978,0.7572179886229473,0.5861663089385861
Coventry North West,0,35,61,96,0.8277794292508918,1.670217803030303,0.0
Coventry South,2,25,95,122,1.0144246700844037,0.9387641047477113,1.1627233341240808
Cramlington and Killingworth,2,19,97,118,1.0708921985529738,0.7376458287475236,1.2021376844333715
Crawley,1,61,182,244,0.9717120523966395,1.1452922077922079,0.2906808335310202
Crewe and Nantwich,2,23,105,130,1.0522089088081954,0.8105144855144856,1.0911711289472144
Croydon East,1,30,148,179,1.077121543254572,0.7677936588551113,0.39623532615401635
Croydon South,2,28,143,173,1.076827063844996,0.7414608512874409,0.8199551836019529
Croydon West,1,54,395,450,1.1435116924296471,0.5497402597402598,0.1576136075145976
Dagenham and Rainham,2,35,185,222,1.0856123662306778,0.7222563472563472,0.6389740845186389
Darlington,1,23,52,76,0.891344890168346,1.3864063568010936,0.9332384655469594
Dartford,0,51,242,293,1.0759789459160027,0.7974048136164178,0.0
Daventry,7,41,166,214,1.0105326324913597,0.8777005704575798,2.3200133816401047
Derby North,4,40,147,191,1.00262838430938,0.9594070850615354,1.4853638404517053
Derby South,1,40,178,219,1.0588438421318391,0.8367431655102888,0.3238635770847896
Derbyshire Dales,8,73,150,231,0.8459317139459827,1.4477286782481589,2.4563159612664562
Dewsbury and Batley,1,49,125,175,0.930524885340581,1.282727272727273,0.40529213360896527
Didcot and Wantage,3,15,62,80,1.0096195005945303,0.8589691558441559,2.6597296268088346
Doncaster Central,1,67,157,225,0.9090194213238209,1.3641702741702741,0.3152272150291952
Doncaster East and the Isle of Axholme,2,39,102,143,0.9292234519345103,1.249409681227863,0.9919737535883766
Doncaster North,2,62,98,162,0.7880741621526401,1.75328683662017,0.8756311528588756
Dorking and Horley,2,60,130,192,0.8820600475624257,1.4316152597402598,0.7388137852246762
Dover and Deal,5,43,149,197,0.9853172136144426,0.9999505570571561,1.800155415775861
Droitwich and Evesham,5,39,54,98,0.7178334829770195,1.82311820832229,3.6186797643657616
Dudley,2,31,112,145,1.0062503587682972,0.979422301836095,0.9782913569871575
Dulwich and West Norwood,1,48,241,290,1.0826175734962482,0.7582624272279445,0.24457283924678938
Dunstable and Leighton Buzzard,0,20,119,139,1.1152909776815885,0.6591609829019901,0.0
Dwyfor Meirionnydd,9,47,69,125,0.719109631391201,1.7225194805194806,5.106680883472962
Ealing Central and Acton,3,43,313,359,1.1358105982068039,0.548719386463119,0.592697409873835
Ealing North,1,38,230,269,1.113862502154896,0.6471539612803554,0.2636658861768361
Ealing Southall,1,30,210,241,1.135163138133323,0.5702699789836719,0.2942992671434395
Earley and Woodley,0,12,64,76,1.0970398648225796,0.7233424470266575,0.0
Easington,1,19,45,65,0.9018933504070246,1.3391108891108892,1.0911711289472144
East Grinstead and Uckfield,0,54,121,175,0.9007480890096823,1.4136178107606678,0.0
East Ham,0,31,264,295,1.1658372800741652,0.4814109619194365,0.0
East Hampshire,5,46,124,175,0.9230806862578562,1.2041929499072357,2.0264606680448263
East Surrey,1,54,212,267,1.034381220857994,0.9265285276521231,0.26564091154145664
East Thanet,3,40,148,191,1.0094489855631852,0.9594070850615354,1.1140228803387788
East Wiltshire,5,29,166,200,1.081269916765755,0.6642694805194805,1.7731530845392232
East Worthing and Shoreham,3,63,143,209,0.891344890168346,1.3809264897781646,1.0180783260512287
Eastbourne,2,34,121,157,1.0040185705521938,0.9921002564314667,0.9035174953066105
Eastleigh,3,21,79,103,0.9991849739676529,0.9340247131509267,2.065809418880648
Edmonton and Winchmore Hill,6,29,356,391,1.1861217464290168,0.33977978543195936,1.0883804099473493
Ellesmere Port and Bromborough,1,11,74,86,1.1209578851312114,0.5859634551495017,0.8247223649019643
Eltham and Chislehurst,0,45,179,224,1.041024715474775,0.9203240955473099,0.0
Ely and East Cambridgeshire,8,44,118,170,0.9042512415191998,1.185714285714286,3.3376999238385374
Enfield North,3,29,338,370,1.1900658803869268,0.3590645840645841,0.5750766760667751
Epping Forest,7,50,161,218,0.9621115098888392,1.0507267961396403,2.277444328765975
Epsom and Ewell,1,52,184,237,1.0114059513237705,1.0051509671762837,0.29926634338214736
Erewash,2,37,96,135,0.9263892191835117,1.2555796055796056,1.0507573834306507
Erith and Thamesmead,3,23,152,178,1.1124477280925595,0.5919487815555232,1.195384101936555
Esher and Walton,0,39,127,166,0.9966706302021403,1.0762987012987013,0.0
Exeter,0,22,78,100,1.0161331747919145,1.007857142857143,0.0
Exmouth and Exeter East,1,22,82,105,1.017373874639035,0.9598639455782314,0.6754868893482755
Fareham and Waterlooville,2,32,96,130,0.9620195737674929,1.1276723276723277,1.0911711289472144
Farnham and Bordon,2,45,134,181,0.9644556270159833,1.1389646265336875,0.7837140705145738
Faversham and Mid Kent,4,50,188,242,1.0120419414117392,0.9465224857786841,1.1723326178771722
